单号,时间,配送状况
495238297525,11月23日(土),荷物受付
495238300001,11月20日(水),荷物受付
495238299942,11月20日(水),荷物受付
495238300045,11月20日(水),荷物受付
495238293196,11月29日(金),荷物受付
495238293185,11月29日(金),荷物受付
495238293174,11月29日(金),荷物受付
495238293163,11月29日(金),荷物受付
495238293152,11月29日(金),荷物受付
495238293141,11月29日(金),荷物受付
495238300255,11月19日(火),荷物受付
495238300244,11月19日(火),荷物受付
495238300233,11月19日(火),荷物受付
495238300222,11月19日(火),荷物受付
495238300211,11月19日(火),荷物受付
