CUSTOMER,MAWB_NO,HAWB_NO,TOTAL_NUMBER,TOTAL_WEIGHT,PERMIT_DATE,CUSTOMS_TYPE,HAWB_TYPE,CUSTOMS_TAX,TRANSFER_DATE,TRANSFER_NO,TRANSFER_COMPANY,TAX_PAYER
JUTB,888-99142465,JBX-1167077,20,336.0,2025-02-20 11:28,SP,2,46100,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1010148,2,20.0,2025-02-20 12:31,SP,1,14100,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1010152,7,219.0,2025-02-20 12:31,SP,2,13800,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1010122,7,134.0,2025-02-20 12:31,SP,1,2700,2025-02-21 11:23,2502-21,NAKAMURA,IMPORTER
JUTB,888-99911250,JBX-1182748,14,149.0,2025-02-20 12:32,SP,1,49000,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1163106,1,20.5,2025-02-20 12:32,SP,1,4200,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1151191,16,165.0,2025-02-20 12:32,SP,2,19600,2025-02-21 11:23,2502-21,NAKAMURA,IMPORTER
JUTB,888-99911250,JBX-1018026,2,86.0,2025-02-20 12:32,SP,2,17000,2025-02-21 11:23,2502-21,NAKAMURA,IMPORTER
JUTB,888-99911250,JBX-1010266,6,97.0,2025-02-20 12:32,SP,2,18700,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1010147,25,161.0,2025-02-20 12:32,SP,1,65200,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1010141,21,434.9,2025-02-20 12:32,SP,2,89900,2025-02-21 11:23,2502-21,NAKAMURA,IMPORTER
JUTB,888-99911250,JBX-1010143,26,255.8,2025-02-20 12:32,SP,2,16200,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1010137,1,78.0,2025-02-20 12:32,SP,1,29800,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1010135,1,32.0,2025-02-20 12:32,SP,2,10500,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1010132,3,27.0,2025-02-20 12:32,SP,2,3000,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1010134,1,254.0,2025-02-20 13:02,SP,2,28800,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1010146,1,66.0,2025-02-20 14:45,SP,3K,1900,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1167297,167,3159.6,2025-02-20 15:40,SP,2,148200,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1010153,96,1179.8,2025-02-20 17:33,SP,2,320300,2025-02-21 11:23,2502-21,NAKAMURA,SHIPPER
JUTB,888-99911250,JBX-1167305,20,340.0,2025-02-21 13:50,SP,2,20700,2025-02-24 07:44,3620-5012-9221,SAGAWA,SHIPPER
JUTB,888-99142465,JBX-1167283,1,23.0,2025-02-21 15:52,SP,2,1900,2025-02-24 07:44,3620-5012-9210,SAGAWA,SHIPPER
